type_envoi,base_calcul,zone_type,zone_valeur,tranche_min,tranche_max,prix,unite,mini_perception,valid_from,valid_to,source_filename
messagerie,poids,departement,23,20,30,25.95,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,23,30,40,29.44,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,23,40,50,32.54,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,23,50,60,36.05,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,23,60,70,39.99,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,23,70,80,44.36,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,23,80,90,48.73,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,23,90,100,47.9,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,23,100,250,44.27,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,23,250,500,37.37,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,23,500,1000,35.78,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,24,0,10,26.06,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,24,10,20,29.57,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,24,20,30,33.4,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,24,30,40,36.9,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,24,40,50,41.75,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,24,50,60,45.27,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,24,60,70,50.11,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,24,70,80,55.53,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,24,80,90,59.05,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,24,90,100,64.89,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,24,100,250,61.59,au_100kg,,,,SIFA 010126 - P U.xlsx
